nan,3.466796875000000000e-01,7.763671875000000000e-01,1.127929687500000000e+00,1.411132812500000000e+00,1.743164062500000000e+00,2.084960937500000000e+00,2.436523437500000000e+00,2.817382812500000000e+00,3.227539062500000000e+00
1.025390625000000000e-01,4.443359375000000000e-01,9.033203125000000000e-01,1.196289062500000000e+00,1.508789062500000000e+00,1.840820312500000000e+00,2.192382812500000000e+00,2.553710937500000000e+00,2.944335937500000000e+00,3.374023437500000000e+00
2.001953125000000000e-01,5.517578125000000000e-01,1.010742187500000000e+00,1.274414062500000000e+00,1.606445312500000000e+00,1.948242187500000000e+00,2.309570312500000000e+00,2.680664062500000000e+00,3.090820312500000000e+00,3.530273437500000000e+00
2.978515625000000000e-01,6.591796875000000000e-01,1.069335937500000000e+00,1.362304687500000000e+00,1.704101562500000000e+00,2.065429687500000000e+00,2.426757812500000000e+00,2.817382812500000000e+00,3.237304687500000000e+00,3.686523437500000000e+00
3.955078125000000000e-01,7.666015625000000000e-01,1.137695312500000000e+00,1.459960937500000000e+00,1.811523437500000000e+00,2.172851562500000000e+00,2.553710937500000000e+00,2.944335937500000000e+00,3.374023437500000000e+00,3.842773437500000000e+00
5.029296875000000000e-01,8.935546875000000000e-01,1.215820312500000000e+00,1.557617187500000000e+00,1.928710937500000000e+00,2.290039062500000000e+00,2.670898437500000000e+00,3.081054687500000000e+00,3.530273437500000000e+00,4.008789062500000000e+00
6.005859375000000000e-01,1.010742187500000000e+00,1.303710937500000000e+00,1.674804687500000000e+00,2.036132812500000000e+00,2.407226562500000000e+00,2.797851562500000000e+00,3.217773437500000000e+00,3.676757812500000000e+00,4.174804687500000000e+00
6.982421875000000000e-01,1.079101562500000000e+00,1.411132812500000000e+00,1.782226562500000000e+00,2.153320312500000000e+00,2.524414062500000000e+00,2.924804687500000000e+00,3.354492187500000000e+00,3.833007812500000000e+00,4.350585937500000000e+00
7.958984375000000000e-01,1.157226562500000000e+00,1.518554687500000000e+00,1.899414062500000000e+00,2.260742187500000000e+00,2.641601562500000000e+00,3.051757812500000000e+00,3.500976562500000000e+00,3.999023437500000000e+00,4.536132812500000000e+00
9.033203125000000000e-01,1.254882812500000000e+00,1.635742187500000000e+00,2.006835937500000000e+00,2.368164062500000000e+00,2.758789062500000000e+00,3.188476562500000000e+00,3.657226562500000000e+00,4.165039062500000000e+00,4.721679687500000000e+00
